name,draft_year,draft_position,draft_age,height,weight,wingspan,pts,reb,ast,stl,blk,pf,to,g,mp,max_vertical,lane_agility,shuttle,3/4_sprint,standing_reach,fg%,3p%,3pa_rate,fta_rate,ft%,effective_fg%,true_shooting_%,usg%,ast/usg,ast/to,per,ortg,drtg,obpm,dbpm,bpm,ows/40,dws/40,ws/40,proj_nba_3p%,Peak DARKO,fgm,fga,3pm,3pa,ftm,fta,team_Mid-Major,team_Other,team_Power_6,Freshman,Sophomore,Junior,Senior,Other
Anthony Edwards,2020,1,18.87,77.0,225,,20.8,5.7,3.1,1.5,0.6,2.4,3.0,32.0,36.0,,,,,,0.402,0.294,0.485,0.339,0.772,0.473,0.52,30.4,0.59,1.05,20.8,105.8,103.6,4.8,0.7,5.5,0.095,0.042,0.136,0.369,4.4,6.9,17.2,2.5,8.3,4.5,5.8,0,0,1,1,0,0,0,0
James Wiseman,2020,2,19.22,85.0,237,,30.8,16.7,0.5,0.5,4.7,2.6,1.6,3.0,36.0,,,,,,0.769,0.0,0.038,0.038,0.704,0.769,0.76,29.1,0.15,0.33,52.7,149.8,80.8,13.1,4.9,18.0,0.29,0.116,0.406,0.318,-1.9,10.4,13.6,0.0,0.5,9.9,14.1,1,0,0,1,0,0,0,0
LaMelo Ball,2020,3,18.82,79.0,190,,19.7,9.0,7.8,1.8,0.2,3.0,2.9,13.0,36.0,,,,,,0.389,0.279,0.408,0.237,0.7,0.445,0.475,27.24,1.33,2.67,18.48,108.0,113.8,,,,,,,0.353,2.2,7.3,18.7,2.1,7.6,3.1,4.4,0,1,0,0,0,0,0,1
Patrick Williams,2020,4,18.87,80.0,225,,14.8,6.4,1.6,1.6,1.7,2.6,2.8,29.0,36.0,,,,,,0.459,0.32,0.242,0.357,0.838,0.498,0.553,22.2,0.38,0.58,19.4,106.9,94.1,2.3,3.2,5.5,0.074,0.08,0.153,0.351,-0.6,5.2,11.4,0.9,2.8,3.4,4.1,0,0,1,1,0,0,0,0
Isaac Okoro,2020,5,19.39,78.0,225,,14.7,5.1,2.3,1.1,1.0,3.1,2.2,28.0,36.0,,,,,,0.514,0.286,0.288,0.551,0.672,0.556,0.587,19.6,0.67,1.04,19.1,116.5,101.3,3.8,2.5,6.3,0.104,0.05,0.154,0.326,0.6,5.1,9.9,0.8,2.9,3.7,5.5,0,0,1,1,0,0,0,0
Onyeka Okongwu,2020,6,19.52,81.0,245,,19.0,10.2,1.3,1.4,3.2,3.1,2.3,28.0,36.0,,,,,,0.616,0.25,0.014,0.504,0.72,0.618,0.645,23.6,0.36,0.54,31.1,122.8,88.5,6.7,4.9,11.6,0.149,0.098,0.252,0.321,1.3,7.3,11.9,0.0,0.2,4.3,6.0,1,0,0,1,0,0,0,0
Killian Hayes,2020,7,18.9,77.0,187,,16.8,4.1,7.8,2.1,0.4,4.3,4.7,33.0,36.0,,,,,,0.482,0.294,0.359,0.313,0.876,0.535,0.585,24.34,1.59,1.68,16.54,107.6,109.7,,,,,,,0.363,-1.5,6.0,12.5,1.3,4.5,3.4,3.9,0,1,0,0,0,0,0,1
Obi Toppin,2020,8,22.29,81.0,220,,22.8,8.6,2.5,1.1,1.4,1.9,2.5,31.0,36.0,,,,,,0.633,0.39,0.212,0.364,0.702,0.674,0.684,28.1,0.52,0.99,32.5,125.3,90.3,9.0,3.3,12.3,0.183,0.094,0.277,0.34,0.5,9.0,14.2,1.2,3.0,3.6,5.2,1,0,0,0,1,0,0,0
Deni Avdija,2020,9,19.46,81.0,215,,15.0,7.7,3.3,1.1,1.1,3.4,2.6,59.0,36.0,,,,,,0.505,0.333,0.458,0.285,0.588,0.581,0.586,19.67,0.75,1.27,15.21,109.1,99.6,,,,,,,0.332,1.2,5.7,11.2,1.7,5.1,1.9,3.2,0,1,0,0,0,0,0,1
Jalen Smith,2020,10,20.26,82.25,225,86.25,17.8,12.1,0.9,0.8,2.7,2.7,2.0,31.0,36.0,,,,,110.0,0.538,0.368,0.279,0.474,0.75,0.59,0.626,22.8,0.26,0.47,29.3,123.9,88.9,7.7,4.3,12.0,0.148,0.099,0.247,0.346,1.2,6.2,11.6,1.2,3.2,4.1,5.5,0,0,1,0,1,0,0,0
Devin Vassell,2020,11,19.82,79.0,194,,15.9,6.3,2.0,1.8,1.2,2.4,1.0,30.0,36.0,,,,,,0.49,0.415,0.361,0.221,0.738,0.565,0.585,20.0,0.56,2.13,23.8,126.9,93.6,6.7,4.2,10.9,0.139,0.079,0.218,0.357,-0.1,6.0,12.3,1.8,4.4,2.0,2.7,0,0,1,0,1,0,0,0
Tyrese Haliburton,2020,12,20.3,77.0,175,,14.9,5.8,6.3,2.4,0.7,1.2,2.7,22.0,36.0,,,,,,0.504,0.419,0.508,0.184,0.822,0.611,0.631,20.1,1.76,2.33,25.9,121.5,101.1,8.0,3.7,11.7,0.134,0.05,0.188,0.376,3.9,5.5,10.9,2.3,5.5,1.7,2.0,0,0,1,0,1,0,0,0
Kira Lewis Jr.,2020,13,19.2,75.0,180,,17.7,4.6,5.0,1.7,0.6,2.5,3.4,31.0,36.0,,,,,,0.459,0.366,0.341,0.292,0.802,0.521,0.56,24.3,1.14,1.47,19.8,109.8,103.5,3.7,1.7,5.5,0.099,0.041,0.141,0.362,-0.7,6.4,13.9,1.7,4.7,3.2,4.0,0,0,1,0,1,0,0,0
Aaron Nesmith,2020,14,20.67,78.0,213,,23.2,4.9,0.9,1.4,0.9,2.8,1.7,14.0,36.0,,,,,,0.512,0.522,0.561,0.307,0.825,0.659,0.685,26.3,0.26,0.54,29.0,127.8,106.8,9.3,0.4,9.7,0.176,0.032,0.208,0.41,1.3,7.6,14.8,4.3,8.3,3.7,4.5,1,0,0,0,1,0,0,0
Cole Anthony,2020,15,20.1,75.0,184,,19.1,5.9,4.1,1.4,0.3,3.0,3.6,22.0,36.0,,,,,,0.38,0.348,0.409,0.371,0.75,0.451,0.501,30.0,0.8,1.14,17.5,99.9,102.4,3.3,1.8,5.1,0.062,0.047,0.109,0.364,0.3,6.1,16.2,2.3,6.6,4.5,6.0,0,0,1,1,0,0,0,0
Isaiah Stewart,2020,16,19.08,80.5,243,88.75,19.0,9.8,0.9,0.6,2.3,2.9,2.5,32.0,36.0,,,,,108.5,0.57,0.25,0.059,0.591,0.774,0.577,0.629,24.5,0.26,0.38,26.9,119.7,93.6,5.0,2.4,7.4,0.144,0.078,0.221,0.327,-0.6,6.7,11.8,0.2,0.7,5.4,6.9,0,0,1,1,0,0,0,0
Aleksej Pokuševski,2020,17,18.48,84.0,201,,16.7,12.2,4.8,2.0,2.8,2.4,3.0,12.0,36.0,,,,,,0.4,0.321,0.505,0.219,0.783,0.481,0.513,26.13,0.97,1.62,21.76,104.0,84.5,,,,,,,0.37,-1.5,5.9,14.8,2.4,7.5,2.5,3.2,0,1,0,0,0,0,0,1
Josh Green,2020,18,19.59,77.5,214,81.75,14.0,5.3,3.0,1.8,0.5,2.8,1.9,30.0,36.0,,,,,101.5,0.424,0.361,0.288,0.378,0.78,0.476,0.528,20.7,0.77,1.59,17.9,110.4,93.3,2.8,4.1,6.9,0.086,0.082,0.164,0.35,-0.1,4.7,11.2,1.2,3.2,3.3,4.2,0,0,1,1,0,0,0,0
Saddiq Bey,2020,19,21.19,80.0,216,,17.1,5.0,2.5,0.8,0.4,2.6,1.6,31.0,36.0,,,,,,0.477,0.451,0.477,0.248,0.769,0.584,0.608,22.8,0.65,1.61,21.6,121.0,101.0,6.2,1.9,8.1,0.137,0.053,0.186,0.376,-0.2,6.0,12.6,2.7,6.0,2.4,3.1,0,0,1,0,1,0,0,0
Precious Achiuwa,2020,20,20.75,80.75,234,84.75,18.7,12.8,1.1,1.3,2.2,2.8,3.3,31.0,36.0,,,,,108.5,0.493,0.325,0.108,0.507,0.599,0.511,0.534,27.7,0.27,0.34,23.3,101.3,82.5,2.5,3.4,5.8,0.064,0.123,0.187,0.312,-1.1,6.9,14.1,0.5,1.5,4.3,7.1,1,0,0,1,0,0,0,0
Tyrese Maxey,2020,21,19.62,75.0,198,,14.6,4.5,3.3,0.9,0.4,2.5,2.3,31.0,36.0,,,,,,0.427,0.292,0.322,0.342,0.833,0.474,0.531,22.7,0.82,1.48,16.3,107.1,99.6,2.4,2.0,4.4,0.079,0.056,0.135,0.353,2.1,5.1,11.8,1.1,3.8,3.4,4.0,0,0,1,1,0,0,0,0
Zeke Nnaji,2020,22,19.44,82.5,247,86.0,18.9,10.1,1.0,0.8,1.0,2.8,2.6,32.0,36.0,,,,,105.5,0.57,0.294,0.054,0.637,0.76,0.578,0.63,24.1,0.24,0.39,25.7,120.5,92.5,5.6,2.3,8.0,0.143,0.086,0.228,0.327,-1.3,6.6,11.5,0.2,0.6,5.6,7.3,0,0,1,1,0,0,0,0
Leandro Bolmaro,2020,23,19.77,79.0,180,,16.7,3.3,5.3,2.4,0.3,4.2,3.7,24.0,36.0,,,,,,0.423,0.293,0.446,0.226,0.711,0.488,0.513,25.26,0.99,1.45,13.95,101.8,98.9,,,,,,,0.351,-2.5,6.2,14.7,1.9,6.6,2.4,3.3,0,1,0,0,0,0,0,1
RJ Hampton,2020,24,19.36,77.0,188,,16.2,6.7,4.2,2.0,0.7,3.6,2.5,17.0,36.0,,,,,,0.417,0.294,0.354,0.264,0.737,0.469,0.503,22.42,0.8,1.68,15.27,104.8,111.3,,,,,,,0.347,,6.0,14.3,1.5,5.1,2.8,3.8,0,1,0,0,0,0,0,1
Immanuel Quickley,2020,25,21.01,75.0,186,80.25,17.5,4.6,2.0,1.0,0.1,2.5,1.7,30.0,36.0,,,,,99.0,0.417,0.428,0.438,0.471,0.923,0.511,0.595,23.4,0.49,1.17,20.4,121.3,99.8,5.3,2.0,7.3,0.138,0.057,0.194,0.389,1.8,5.0,12.0,2.3,5.3,5.2,5.7,0,0,1,0,1,0,0,0
Payton Pritchard,2020,26,22.39,74.0,190,,20.1,4.3,5.5,1.5,0.0,2.0,2.7,31.0,36.0,,,,,,0.468,0.415,0.459,0.303,0.821,0.563,0.601,28.2,1.12,2.02,27.1,122.9,101.5,9.2,1.9,11.1,0.187,0.049,0.236,0.383,1.7,6.9,14.7,2.8,6.7,3.6,4.4,0,0,1,0,0,0,1,0
Udoka Azubuike,2020,27,20.75,83.5,260,91.25,17.9,13.6,1.2,0.6,3.4,3.1,3.2,31.0,36.0,,,,,109.0,0.748,,0.0,0.599,0.441,0.748,0.685,22.9,0.31,0.38,31.3,118.2,82.9,7.2,5.2,12.4,0.135,0.121,0.256,0.281,-2.3,7.6,10.1,0.0,0.0,2.7,6.1,0,0,1,0,0,0,1,0
Jaden McDaniels,2020,28,19.72,82.0,184,,15.0,6.7,2.4,0.9,1.6,3.9,3.7,31.0,36.0,,,,,,0.405,0.339,0.378,0.339,0.763,0.469,0.515,25.6,0.57,0.65,14.6,93.8,95.4,0.3,2.2,2.6,0.025,0.071,0.096,0.354,1.3,5.1,12.6,1.6,4.7,3.3,4.3,0,0,1,1,0,0,0,0
Malachi Flynn,2020,29,22.11,73.0,185,,19.0,4.8,5.5,1.9,0.1,1.9,1.9,32.0,36.0,,,,,,0.441,0.373,0.489,0.336,0.857,0.532,0.583,26.8,1.15,2.84,27.7,124.5,90.3,7.6,4.1,11.7,0.183,0.093,0.277,0.383,-1.4,6.2,14.0,2.6,6.9,4.0,4.7,1,0,0,0,0,1,0,0
Desmond Bane,2020,30,21.98,77.0,215,,16.6,6.3,3.9,1.5,0.5,2.2,2.3,32.0,36.0,,,,,,0.452,0.442,0.477,0.131,0.789,0.557,0.573,24.4,1.07,1.68,22.6,114.5,97.6,7.1,2.6,9.8,0.118,0.066,0.184,0.381,2.5,6.2,13.6,2.9,6.5,1.4,1.8,1,0,0,0,0,0,1,0
Tyrell Terry,2020,31,19.72,75.0,170,73.75,16.2,5.0,3.5,1.5,0.1,2.3,2.9,31.0,36.0,,,,,96.0,0.441,0.408,0.456,0.33,0.891,0.535,0.589,24.5,0.83,1.21,19.3,108.0,91.3,3.4,2.7,6.1,0.091,0.091,0.178,0.383,-1.0,5.2,11.9,2.2,5.4,3.5,3.9,0,0,1,1,0,0,0,0
Vernon Carey Jr.,2020,32,19.31,82.0,265,,25.7,12.7,1.4,1.0,2.3,4.0,2.9,31.0,36.0,,,,,,0.577,0.381,0.061,0.632,0.67,0.588,0.615,31.0,0.26,0.48,34.1,121.2,88.0,7.9,3.4,11.3,0.187,0.104,0.29,0.322,-2.3,9.3,16.1,0.4,1.0,6.8,10.2,0,0,1,1,0,0,0,0
Daniel Oturu,2020,33,20.75,82.0,240,,21.4,12.0,1.2,0.6,2.6,2.8,3.0,31.0,36.0,,,,,,0.563,0.365,0.123,0.428,0.707,0.585,0.612,28.8,0.27,0.39,30.7,115.1,92.9,7.7,3.4,11.1,0.141,0.084,0.225,0.331,-2.4,8.2,14.5,0.7,1.8,4.4,6.2,0,0,1,0,1,0,0,0
Theo Maledon,2020,34,19.02,77.0,187,80.75,15.1,4.0,5.6,0.9,0.3,5.5,3.4,46.0,36.0,,,,,100.5,0.421,0.333,0.448,0.375,0.776,0.496,0.545,22.99,1.19,1.67,12.48,105.8,112.9,,,,,,,0.358,-1.9,5.0,11.8,1.8,5.3,3.4,4.4,0,1,0,0,0,0,0,1
Xavier Tillman,2020,35,21.43,80.5,267,86.0,15.4,11.6,3.4,1.3,2.4,2.9,2.2,31.0,36.0,,,,,106.0,0.55,0.26,0.167,0.41,0.667,0.572,0.593,21.0,0.86,1.52,26.5,119.5,86.5,6.3,6.2,12.6,0.125,0.109,0.233,0.318,-0.2,6.0,10.9,0.5,1.8,3.0,4.5,0,0,1,0,0,1,0,0
Tyler Bey,2020,36,22.35,79.0,213,85.25,17.2,11.2,1.8,1.9,1.4,2.4,3.0,31.0,36.0,,,,,105.5,0.53,0.419,0.117,0.693,0.743,0.555,0.611,24.4,0.47,0.61,26.7,114.0,85.7,5.2,5.0,10.1,0.116,0.111,0.227,0.337,-3.3,5.6,10.6,0.5,1.2,5.5,7.3,0,0,1,0,0,1,0,0
Vít Krejčí,2020,37,20.0,80.0,195,,12.4,4.9,2.7,1.1,0.4,6.1,2.2,37.0,36.0,,,,,,0.554,0.343,0.422,0.289,0.542,0.627,0.62,15.61,0.77,1.19,11.56,112.2,109.2,,,,,,,0.318,-0.5,4.9,8.8,1.3,3.7,1.4,2.5,0,1,0,0,0,0,0,1
Saben Lee,2020,38,20.99,74.0,183,,20.3,3.9,4.6,1.7,0.3,2.0,3.4,32.0,36.0,,,,,,0.483,0.322,0.292,0.498,0.752,0.53,0.58,29.4,1.09,1.35,24.3,111.3,107.9,4.9,0.4,5.3,0.129,0.027,0.152,0.347,0.7,6.8,14.2,1.3,4.1,5.3,7.0,1,0,0,0,0,1,0,0
Elijah Hughes,2020,39,22.28,78.5,229,79.5,18.7,4.8,3.3,1.1,0.8,1.8,2.2,32.0,36.0,,,,,101.5,0.427,0.342,0.491,0.358,0.813,0.511,0.561,26.6,0.76,1.49,22.1,113.1,103.0,6.1,1.2,7.3,0.119,0.044,0.163,0.374,-1.9,6.1,14.2,2.4,7.0,4.1,5.1,0,0,1,0,0,1,0,0
Robert Woodard II,2020,40,20.74,79.0,230,86.0,12.4,7.1,1.4,1.2,1.1,2.0,2.0,31.0,36.0,,,,,105.5,0.495,0.429,0.255,0.284,0.641,0.549,0.564,18.2,0.42,0.69,18.1,111.4,101.4,4.1,1.9,6.0,0.078,0.051,0.129,0.332,-1.5,4.8,9.7,1.1,2.5,1.8,2.7,0,0,1,0,1,0,0,0
Tre Jones,2020,41,20.44,74.5,185,,16.5,4.3,6.5,1.8,0.4,1.8,2.7,29.0,36.0,,,,,,0.423,0.361,0.282,0.366,0.771,0.474,0.524,24.0,1.31,2.37,21.2,113.2,94.6,5.1,3.1,8.2,0.117,0.078,0.191,0.352,0.5,5.7,13.4,1.4,3.8,3.8,4.9,0,0,1,0,1,0,0,0
Nick Richards,2020,42,22.55,83.5,242,86.25,17.0,9.4,0.3,0.1,2.6,3.8,1.9,31.0,36.0,,,,,110.0,0.642,,0.0,0.571,0.752,0.642,0.674,20.7,0.08,0.14,25.8,127.8,95.8,4.6,2.4,7.0,0.148,0.07,0.222,0.324,-0.7,6.4,9.9,0.0,0.0,4.3,5.7,0,0,1,0,0,1,0,0
Jahmi'us Ramsey,2020,43,19.03,75.75,193,78.0,17.4,4.6,2.6,1.5,0.8,2.5,2.3,27.0,36.0,,,,,100.5,0.442,0.426,0.421,0.233,0.641,0.531,0.546,26.2,0.61,1.11,19.1,104.6,93.2,4.3,2.4,6.7,0.076,0.081,0.157,0.356,,6.3,14.3,2.6,6.0,2.1,3.3,0,0,1,1,0,0,0,0
Marko Simonović,2020,44,20.68,83.0,220,,20.4,9.8,1.5,1.3,1.5,4.7,2.7,24.0,36.0,,,,,,0.509,0.311,0.22,0.458,0.803,0.543,0.597,24.18,0.35,0.54,20.96,117.4,109.2,,,,,,,0.347,-1.9,7.1,14.0,1.0,3.1,5.2,6.4,0,1,0,0,0,0,0,1
Jordan Nwora,2020,45,21.78,79.0,223,82.25,19.6,8.4,1.4,0.8,0.3,2.4,2.3,31.0,36.0,,,,,104.0,0.44,0.402,0.44,0.298,0.812,0.528,0.568,27.8,0.3,0.62,22.6,113.5,94.2,6.3,1.9,8.2,0.125,0.078,0.203,0.38,-1.9,6.6,15.1,2.7,6.6,3.6,4.5,0,0,1,0,0,1,0,0
CJ Elleby,2020,46,20.01,78.25,199,79.25,19.9,8.5,2.0,1.9,0.9,3.2,2.3,32.0,36.0,,,,,100.5,0.396,0.339,0.438,0.295,0.823,0.47,0.519,29.2,0.46,0.87,22.5,104.7,92.8,4.7,2.8,7.6,0.086,0.082,0.169,0.377,-2.1,6.6,16.8,2.5,7.3,4.1,5.0,0,0,1,0,1,0,0,0
Yam Madar,2020,47,19.49,75.0,180,,14.9,3.6,5.0,1.5,0.3,3.1,3.0,32.0,36.0,,,,,,0.444,0.267,0.332,0.328,0.812,0.488,0.538,20.52,1.12,1.64,12.67,102.8,106.8,,,,,,,0.349,,5.3,12.0,1.1,4.0,3.2,3.9,0,1,0,0,0,0,0,1
Nico Mannion,2020,48,19.26,75.0,179,,15.6,2.8,5.9,1.3,0.0,1.9,2.9,32.0,36.0,,,,,,0.392,0.327,0.441,0.362,0.797,0.465,0.52,24.5,1.29,2.06,17.2,107.1,97.6,3.6,1.8,5.4,0.085,0.066,0.151,0.362,-2.0,5.0,12.8,1.8,5.7,3.7,4.6,0,0,1,1,0,0,0,0
Isaiah Joe,2020,49,20.96,76.5,170,79.5,16.8,4.1,1.7,1.4,0.3,1.8,1.7,26.0,36.0,,,,,101.0,0.367,0.342,0.764,0.253,0.89,0.497,0.544,24.2,0.41,1.0,17.5,106.4,99.2,4.0,1.2,5.3,0.077,0.06,0.136,0.405,1.6,5.1,13.8,3.6,10.5,3.1,3.5,0,0,1,0,1,0,0,0
Skylar Mays,2020,50,22.62,76.0,204,78.0,17.4,5.3,3.4,1.9,0.2,1.8,2.4,31.0,36.0,,,,,99.0,0.491,0.394,0.369,0.439,0.854,0.564,0.622,22.0,0.77,1.43,23.7,123.7,102.6,5.8,2.5,8.3,0.146,0.045,0.191,0.369,-0.4,5.7,11.6,1.7,4.3,4.4,5.1,1,0,0,0,0,0,1,0
Justinian Jessup,2020,51,22.07,79.0,202,,16.0,4.4,2.1,1.4,0.5,2.2,1.3,32.0,36.0,,,,,,0.426,0.397,0.611,0.181,0.959,0.547,0.584,21.1,0.57,1.68,20.1,119.5,98.3,5.4,1.8,7.2,0.118,0.063,0.181,0.406,,5.4,12.6,3.1,7.7,2.2,2.3,1,0,0,0,0,0,1,0
Kenyon Martin Jr.,2020,52,19.45,79.0,213,79.25,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,0,1,0,0,0,0,0,1
Cassius Winston,2020,53,22.3,73.5,196,78.0,20.5,2.8,6.5,1.3,0.0,2.2,3.5,30.0,36.0,,,,,97.0,0.448,0.432,0.409,0.327,0.852,0.536,0.585,29.1,1.25,1.83,23.0,114.5,98.5,7.0,1.9,8.9,0.143,0.061,0.204,0.386,-2.9,6.8,15.2,2.7,6.2,4.2,5.0,0,0,1,0,0,0,1,0
Cassius Stanley,2020,54,20.84,78.25,202,79.0,16.5,6.4,1.4,0.9,0.9,2.8,2.4,29.0,36.0,,,,,99.5,0.474,0.36,0.319,0.389,0.733,0.531,0.569,21.9,0.3,0.56,18.5,112.3,96.2,3.6,1.9,5.4,0.095,0.07,0.166,0.347,-2.2,5.8,12.2,1.4,3.9,3.5,4.7,0,0,1,1,0,0,0,0
Jay Scrubb,2020,55,19.8,78.25,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,1,0,0,1,0,0,0,0
Grant Riller,2020,56,23.36,73.0,178,77.25,23.5,5.5,4.2,1.7,0.3,2.4,3.4,31.0,36.0,,,,,96.5,0.499,0.362,0.286,0.47,0.827,0.551,0.609,33.6,0.9,1.26,30.6,115.6,100.9,6.0,1.1,7.1,0.173,0.054,0.223,0.364,-1.8,7.9,15.8,1.6,4.5,6.1,7.4,1,0,0,0,0,0,1,0
Reggie Perry,2020,57,20.25,81.25,250,84.25,20.1,11.7,2.7,1.0,1.3,3.6,3.4,31.0,36.0,,,,,106.5,0.5,0.324,0.194,0.53,0.768,0.531,0.587,28.6,0.57,0.8,28.5,116.5,97.5,6.7,1.8,8.5,0.154,0.066,0.216,0.341,-1.5,6.8,13.7,0.9,2.7,5.6,7.3,0,0,1,0,1,0,0,0
Paul Reed,2020,58,21.01,81.25,219,86.0,17.2,12.2,1.8,2.1,2.9,3.4,2.6,29.0,36.0,,,,,109.5,0.516,0.308,0.147,0.227,0.738,0.538,0.561,24.0,0.48,0.71,27.5,109.6,88.8,4.9,4.2,9.2,0.096,0.1,0.196,0.332,0.9,7.1,13.8,0.6,2.0,2.3,3.1,1,0,0,0,0,1,0,0
Jalen Harris,2020,59,21.85,76.25,193,79.0,23.6,7.0,4.3,1.2,0.1,2.5,2.6,30.0,36.0,,,,,97.5,0.446,0.362,0.369,0.327,0.823,0.513,0.56,32.7,0.81,1.64,26.4,113.4,100.9,6.7,0.9,7.6,0.149,0.052,0.202,0.377,-1.3,8.1,18.2,2.4,6.7,4.9,6.0,1,0,0,0,0,1,0,0
Sam Merrill,2020,60,24.09,77.0,205,,20.2,4.2,4.0,0.9,0.1,2.3,1.6,32.0,36.0,,,,,,0.461,0.41,0.513,0.397,0.893,0.566,0.625,24.9,0.93,2.5,25.0,129.7,96.3,7.6,2.4,9.9,0.186,0.071,0.254,0.394,0.3,6.3,13.6,2.9,7.0,4.8,5.4,1,0,0,0,0,0,1,0
Killian Tillie,2020,61,22.29,82.0,222,80.0,19.9,7.3,2.7,1.5,1.2,3.6,1.5,24.0,36.0,,,,,106.0,0.535,0.4,0.391,0.27,0.726,0.613,0.63,22.9,0.57,1.88,27.5,130.8,92.5,8.3,3.7,12.0,0.176,0.088,0.264,0.36,-0.5,7.5,14.0,2.2,5.5,2.7,3.8,1,0,0,0,0,0,1,0
Austin Wiley,2020,61,21.44,82.0,249,,17.9,15.6,0.9,0.9,2.7,4.6,2.8,31.0,36.0,,,,,,0.574,0.0,0.005,0.904,0.671,0.574,0.614,23.1,0.23,0.33,30.2,121.2,90.7,5.2,2.8,8.0,0.151,0.09,0.241,0.313,,5.9,10.2,0.0,0.1,6.2,9.2,0,0,1,0,0,0,1,0
Josh Hall,2020,61,19.7,79.5,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,,,,,,,0,1,0,0,0,0,0,1
Abdoulaye N'Doye,2020,61,22.28,78.0,205,,11.9,5.0,4.6,1.4,0.4,3.4,2.4,26.0,36.0,,,,,,0.522,0.429,0.192,0.44,0.75,0.563,0.602,16.38,1.27,1.89,14.27,115.5,109.0,,,,,,,0.341,,4.3,8.2,0.7,1.6,2.7,3.6,0,1,0,0,0,0,0,1
Anfernee McLemore,2020,61,22.0,79.0,220,,12.1,7.8,0.7,1.3,1.9,5.1,1.7,31.0,36.0,,,,,,0.435,0.28,0.547,0.329,0.661,0.512,0.537,17.1,0.23,0.45,16.0,109.7,95.6,1.0,3.5,4.5,0.063,0.07,0.14,0.336,,4.2,9.7,1.5,5.3,2.1,3.2,0,0,1,0,0,0,1,0
Trevelin Queen,2020,61,23.31,78.0,190,,17.3,6.8,3.2,2.3,0.4,3.1,2.4,26.0,36.0,,,,,,0.471,0.387,0.504,0.158,0.814,0.568,0.588,25.1,0.79,1.31,25.5,118.8,89.1,5.1,2.1,7.2,0.14,0.095,0.24,0.38,-0.3,6.4,13.7,2.7,6.9,1.8,2.2,1,0,0,0,0,0,1,0
Devon Dotson,2020,61,20.88,73.75,185,75.0,18.7,4.2,4.1,2.2,0.1,1.9,2.5,30.0,36.0,,,,,95.0,0.468,0.309,0.316,0.44,0.83,0.517,0.578,26.4,0.85,1.64,24.9,118.0,90.5,6.5,4.8,11.3,0.145,0.092,0.237,0.357,-1.5,6.3,13.4,1.3,4.2,4.9,5.9,0,0,1,0,1,0,0,0
Kahlil Whitney,2020,61,19.44,79.0,205,84.25,9.4,4.8,1.2,0.8,0.5,3.6,2.3,18.0,36.0,,,,,105.5,0.371,0.25,0.258,0.371,0.435,0.403,0.411,19.5,0.33,0.53,6.6,84.3,101.8,-2.7,0.7,-2.0,-0.017,0.052,0.035,0.289,,3.6,9.7,0.6,2.5,1.6,3.6,0,0,1,1,0,0,0,0
Paul Eboua,2020,61,20.34,79.5,222,87.5,12.3,8.8,1.4,1.1,1.2,4.9,2.0,18.0,36.0,,,,,108.0,0.459,0.258,0.316,0.571,0.625,0.5,0.534,16.71,0.4,0.68,14.79,109.9,117.6,,,,,,,0.317,,4.2,9.1,0.7,2.9,3.2,5.2,0,1,0,0,0,0,0,1
Myles Powell,2020,61,22.95,73.5,194,79.0,24.0,4.9,3.3,1.4,0.2,2.4,3.2,28.0,36.0,,,,,99.0,0.398,0.306,0.527,0.308,0.795,0.479,0.524,35.6,0.6,1.04,22.3,104.9,99.1,6.2,0.9,7.1,0.104,0.059,0.163,0.386,-2.5,8.0,20.0,3.2,10.5,4.9,6.2,0,0,1,0,0,0,1,0
Mason Jones,2020,61,21.91,77.75,207,79.0,23.4,5.8,3.6,1.7,0.2,3.5,3.4,31.0,36.0,,,,,102.5,0.453,0.351,0.46,0.668,0.826,0.533,0.614,31.6,0.73,1.07,27.3,115.7,96.2,6.8,2.6,9.4,0.16,0.069,0.232,0.375,-0.7,6.5,14.5,2.3,6.7,8.0,9.7,0,0,1,0,0,1,0,0
Markus Howard,2020,61,21.3,71.0,171,72.25,30.1,3.8,3.6,1.0,0.0,2.6,3.7,29.0,36.0,,,,,91.5,0.422,0.412,0.524,0.444,0.847,0.53,0.593,39.3,0.67,0.97,29.2,116.7,103.6,10.5,0.6,11.0,0.199,0.042,0.241,0.415,-1.2,8.9,21.0,4.5,11.0,7.9,9.3,0,0,1,0,0,0,1,0
Jon Teske,2020,61,23.13,85.0,260,,14.9,8.7,1.5,1.3,2.4,3.2,2.0,31.0,36.0,,,,,,0.478,0.246,0.223,0.313,0.714,0.505,0.537,22.7,0.34,0.74,21.6,107.3,93.4,3.0,4.3,7.3,0.079,0.083,0.162,0.328,-3.7,5.8,12.1,0.7,2.7,2.7,3.8,0,0,1,0,0,0,1,0
Borisa Simanic,2020,61,22.25,84.0,209,,12.7,4.2,2.0,1.0,1.3,4.4,1.8,39.0,36.0,,,,,,0.53,0.478,0.523,0.129,0.765,0.655,0.664,15.26,0.64,1.15,13.82,120.5,109.1,,,,,,,0.369,,4.8,9.0,2.3,4.7,0.9,1.2,0,1,0,0,0,0,0,1
